snapshot_date,account_id,instrument_id,ticker,isin,instrument_type,market_code,position_currency,quantity,price_local,fx_to_eur,market_value_eur,custodian
2025-05-31,ACCT00002,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,448,125.3521,1.0,56157.74,J.P. Morgan Custody
2025-05-31,ACCT00003,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,135540,4.3531,0.8825,520690.46,Euroclear
2025-05-31,ACCT00003,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,585,578.9223,1.0,338669.55,Euroclear
2025-05-31,ACCT00003,INS004,NESN,CH0038863350,Equity,XSWX,CHF,3171,82.7524,0.9792,256949.94,Euroclear
2025-05-31,ACCT00003,INS006,RO,CH0012032113,Equity,XSWX,CHF,403,307.0286,0.9792,121158.89,Euroclear
2025-05-31,ACCT00003,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,3428,125.3521,1.0,429707.0,Euroclear
2025-05-31,ACCT00004,INS003,ASML,NL0010273215,Equity,XAMS,EUR,2,859.5191,1.0,1719.04,BNP Paribas Securities Services
2025-05-31,ACCT00004,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,38,578.9223,1.0,21999.05,BNP Paribas Securities Services
2025-05-31,ACCT00004,INS004,NESN,CH0038863350,Equity,XSWX,CHF,543,82.7524,0.9792,43999.94,BNP Paribas Securities Services
2025-05-31,ACCT00004,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,170,106.7366,0.9792,17767.81,BNP Paribas Securities Services
2025-05-31,ACCT00004,INS006,RO,CH0012032113,Equity,XSWX,CHF,23,307.0286,0.9792,6914.78,BNP Paribas Securities Services
2025-05-31,ACCT00004,INS008,SAP,DE0007164600,Equity,XETR,EUR,215,192.0355,1.0,41287.63,BNP Paribas Securities Services
2025-05-31,ACCT00004,INS007,TTE,FR0000120271,Equity,XPAR,EUR,177,76.567,1.0,13552.36,BNP Paribas Securities Services
2025-05-31,ACCT00004,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,173,125.3521,1.0,21685.91,BNP Paribas Securities Services
2025-05-31,ACCT00005,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,247,578.9223,1.0,142993.81,Clearstream
2025-05-31,ACCT00005,INS002,MSFT,US5949181045,Equity,XNAS,USD,722,366.9114,0.8825,233783.09,Clearstream
2025-05-31,ACCT00005,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,470,106.7366,0.9792,49122.75,Clearstream
2025-05-31,ACCT00005,INS008,SAP,DE0007164600,Equity,XETR,EUR,1174,192.0355,1.0,225449.68,Clearstream
2025-05-31,ACCT00005,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,1105,125.3521,1.0,138514.07,Clearstream
2025-05-31,ACCT00006,INS002,MSFT,US5949181045,Equity,XNAS,USD,989,366.9114,0.8825,320237.51,BNP Paribas Securities Services
2025-05-31,ACCT00006,INS006,RO,CH0012032113,Equity,XSWX,CHF,160,307.0286,0.9792,48102.78,BNP Paribas Securities Services
2025-05-31,ACCT00006,INS008,SAP,DE0007164600,Equity,XETR,EUR,3758,192.0355,1.0,721669.41,BNP Paribas Securities Services
2025-05-31,ACCT00006,INS007,TTE,FR0000120271,Equity,XPAR,EUR,2778,76.567,1.0,212703.13,BNP Paribas Securities Services
2025-05-31,ACCT00006,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,6552,125.3521,1.0,821306.96,BNP Paribas Securities Services
2025-05-31,ACCT00007,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,22445,4.3531,0.8825,86224.71,SIX SIS
2025-05-31,ACCT00007,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,394,578.9223,1.0,228095.39,SIX SIS
2025-05-31,ACCT00007,INS002,MSFT,US5949181045,Equity,XNAS,USD,142,366.9114,0.8825,45979.5,SIX SIS
2025-05-31,ACCT00007,INS004,NESN,CH0038863350,Equity,XSWX,CHF,1418,82.7524,0.9792,114902.24,SIX SIS
2025-05-31,ACCT00007,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,317,106.7366,0.9792,33131.73,SIX SIS
2025-05-31,ACCT00007,INS006,RO,CH0012032113,Equity,XSWX,CHF,139,307.0286,0.9792,41789.29,SIX SIS
2025-05-31,ACCT00007,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,582,29.7088,0.9792,16930.9,SIX SIS
2025-05-31,ACCT00007,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,1623,125.3521,1.0,203446.46,SIX SIS
2025-05-31,ACCT00008,INS001,AAPL,US0378331005,Equity,XNAS,USD,414,231.0862,0.8825,84428.51,Euroclear
2025-05-31,ACCT00008,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,119,578.9223,1.0,68891.75,Euroclear
2025-05-31,ACCT00008,INS002,MSFT,US5949181045,Equity,XNAS,USD,75,366.9114,0.8825,24284.95,Euroclear
2025-05-31,ACCT00008,INS004,NESN,CH0038863350,Equity,XSWX,CHF,559,82.7524,0.9792,45296.44,Euroclear
2025-05-31,ACCT00008,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,477,106.7366,0.9792,49854.37,Euroclear
2025-05-31,ACCT00008,INS008,SAP,DE0007164600,Equity,XETR,EUR,290,192.0355,1.0,55690.3,Euroclear
2025-05-31,ACCT00008,INS007,TTE,FR0000120271,Equity,XPAR,EUR,230,76.567,1.0,17610.41,Euroclear
2025-05-31,ACCT00008,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,569,125.3521,1.0,71325.34,Euroclear
2025-05-31,ACCT00009,INS001,AAPL,US0378331005,Equity,XNAS,USD,632,231.0862,0.8825,128886.04,Clearstream
2025-05-31,ACCT00009,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,178,578.9223,1.0,103048.17,Clearstream
2025-05-31,ACCT00009,INS002,MSFT,US5949181045,Equity,XNAS,USD,141,366.9114,0.8825,45655.7,Clearstream
2025-05-31,ACCT00009,INS004,NESN,CH0038863350,Equity,XSWX,CHF,304,82.7524,0.9792,24633.48,Clearstream
2025-05-31,ACCT00009,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,1471,125.3521,1.0,184392.94,Clearstream
2025-05-31,ACCT00010,INS001,AAPL,US0378331005,Equity,XNAS,USD,175,231.0862,0.8825,35688.38,J.P. Morgan Custody
2025-05-31,ACCT00010,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,36517,4.3531,0.8825,140283.71,J.P. Morgan Custody
2025-05-31,ACCT00010,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,246,578.9223,1.0,142414.89,J.P. Morgan Custody
2025-05-31,ACCT00010,INS004,NESN,CH0038863350,Equity,XSWX,CHF,388,82.7524,0.9792,31440.11,J.P. Morgan Custody
2025-05-31,ACCT00010,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,449,106.7366,0.9792,46927.91,J.P. Morgan Custody
2025-05-31,ACCT00010,INS006,RO,CH0012032113,Equity,XSWX,CHF,138,307.0286,0.9792,41488.65,J.P. Morgan Custody
2025-05-31,ACCT00010,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,1823,29.7088,0.9792,53032.71,J.P. Morgan Custody
2025-05-31,ACCT00010,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,1380,125.3521,1.0,172985.9,J.P. Morgan Custody
2025-05-31,ACCT00011,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,56323,4.3531,0.8825,216370.44,Euroclear
2025-05-31,ACCT00011,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,76,578.9223,1.0,43998.09,Euroclear
2025-05-31,ACCT00011,INS007,TTE,FR0000120271,Equity,XPAR,EUR,2442,76.567,1.0,186976.61,Euroclear
2025-05-31,ACCT00011,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,385,125.3521,1.0,48260.56,Euroclear
2025-05-31,ACCT00012,INS001,AAPL,US0378331005,Equity,XNAS,USD,1429,231.0862,0.8825,291421.11,SIX SIS
2025-05-31,ACCT00012,INS003,ASML,NL0010273215,Equity,XAMS,EUR,477,859.5191,1.0,409990.61,SIX SIS
2025-05-31,ACCT00012,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,1695,578.9223,1.0,981273.3,SIX SIS
2025-05-31,ACCT00012,INS002,MSFT,US5949181045,Equity,XNAS,USD,1211,366.9114,0.8825,392120.95,SIX SIS
2025-05-31,ACCT00012,INS006,RO,CH0012032113,Equity,XSWX,CHF,150,307.0286,0.9792,45096.36,SIX SIS
2025-05-31,ACCT00012,INS008,SAP,DE0007164600,Equity,XETR,EUR,1615,192.0355,1.0,310137.33,SIX SIS
2025-05-31,ACCT00012,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,5402,125.3521,1.0,677152.04,SIX SIS
2025-05-31,ACCT00013,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,147793,4.3531,0.8825,567761.59,BNP Paribas Securities Services
2025-05-31,ACCT00013,INS003,ASML,NL0010273215,Equity,XAMS,EUR,247,859.5191,1.0,212301.22,BNP Paribas Securities Services
2025-05-31,ACCT00013,INS004,NESN,CH0038863350,Equity,XSWX,CHF,3350,82.7524,0.9792,271454.52,BNP Paribas Securities Services
2025-05-31,ACCT00013,INS008,SAP,DE0007164600,Equity,XETR,EUR,934,192.0355,1.0,179361.16,BNP Paribas Securities Services
2025-05-31,ACCT00013,INS007,TTE,FR0000120271,Equity,XPAR,EUR,1334,76.567,1.0,102140.38,BNP Paribas Securities Services
2025-05-31,ACCT00013,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,1813,29.7088,0.9792,52741.8,BNP Paribas Securities Services
2025-05-31,ACCT00013,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,2818,125.3521,1.0,353242.22,BNP Paribas Securities Services
2025-05-31,ACCT00014,INS001,AAPL,US0378331005,Equity,XNAS,USD,6402,231.0862,0.8825,1305582.91,J.P. Morgan Custody
2025-05-31,ACCT00014,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,299763,4.3531,0.8825,1151569.54,J.P. Morgan Custody
2025-05-31,ACCT00014,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,3248,578.9223,1.0,1880339.63,J.P. Morgan Custody
2025-05-31,ACCT00014,INS002,MSFT,US5949181045,Equity,XNAS,USD,1518,366.9114,0.8825,491527.34,J.P. Morgan Custody
2025-05-31,ACCT00014,INS004,NESN,CH0038863350,Equity,XSWX,CHF,5559,82.7524,0.9792,450452.44,J.P. Morgan Custody
2025-05-31,ACCT00014,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,993,106.7366,0.9792,103784.88,J.P. Morgan Custody
2025-05-31,ACCT00014,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,33805,125.3521,1.0,4237527.74,J.P. Morgan Custody
2025-05-31,ACCT00015,INS001,AAPL,US0378331005,Equity,XNAS,USD,4549,231.0862,0.8825,927693.95,BNP Paribas Securities Services
2025-05-31,ACCT00015,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,4384,578.9223,1.0,2537995.36,BNP Paribas Securities Services
2025-05-31,ACCT00015,INS002,MSFT,US5949181045,Equity,XNAS,USD,581,366.9114,0.8825,188127.39,BNP Paribas Securities Services
2025-05-31,ACCT00015,INS004,NESN,CH0038863350,Equity,XSWX,CHF,8938,82.7524,0.9792,724256.87,BNP Paribas Securities Services
2025-05-31,ACCT00015,INS006,RO,CH0012032113,Equity,XSWX,CHF,2247,307.0286,0.9792,675543.47,BNP Paribas Securities Services
2025-05-31,ACCT00015,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,9776,125.3521,1.0,1225442.13,BNP Paribas Securities Services
2025-05-31,ACCT00016,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,110488,4.3531,0.8825,424450.7,BNP Paribas Securities Services
2025-05-31,ACCT00016,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,66,578.9223,1.0,38208.87,BNP Paribas Securities Services
2025-05-31,ACCT00016,INS004,NESN,CH0038863350,Equity,XSWX,CHF,914,82.7524,0.9792,74062.52,BNP Paribas Securities Services
2025-05-31,ACCT00016,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,281,106.7366,0.9792,29369.14,BNP Paribas Securities Services
2025-05-31,ACCT00016,INS006,RO,CH0012032113,Equity,XSWX,CHF,86,307.0286,0.9792,25855.25,BNP Paribas Securities Services
2025-05-31,ACCT00016,INS008,SAP,DE0007164600,Equity,XETR,EUR,64,192.0355,1.0,12290.27,BNP Paribas Securities Services
2025-05-31,ACCT00016,INS007,TTE,FR0000120271,Equity,XPAR,EUR,411,76.567,1.0,31469.04,BNP Paribas Securities Services
2025-05-31,ACCT00016,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,863,125.3521,1.0,108178.86,BNP Paribas Securities Services
2025-05-31,ACCT00017,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,22218,4.3531,0.8825,85352.67,Euroclear
2025-05-31,ACCT00017,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,116,578.9223,1.0,67154.99,Euroclear
2025-05-31,ACCT00017,INS004,NESN,CH0038863350,Equity,XSWX,CHF,189,82.7524,0.9792,15314.9,Euroclear
2025-05-31,ACCT00017,INS006,RO,CH0012032113,Equity,XSWX,CHF,32,307.0286,0.9792,9620.56,Euroclear
2025-05-31,ACCT00017,INS008,SAP,DE0007164600,Equity,XETR,EUR,99,192.0355,1.0,19011.51,Euroclear
2025-05-31,ACCT00017,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,1839,29.7088,0.9792,53498.17,Euroclear
2025-05-31,ACCT00017,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,604,125.3521,1.0,75712.67,Euroclear
2025-05-31,ACCT00018,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,34848,4.3531,0.8825,133872.08,SIX SIS
2025-05-31,ACCT00018,INS003,ASML,NL0010273215,Equity,XAMS,EUR,10,859.5191,1.0,8595.19,SIX SIS
2025-05-31,ACCT00018,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,187,578.9223,1.0,108258.47,SIX SIS
2025-05-31,ACCT00018,INS004,NESN,CH0038863350,Equity,XSWX,CHF,779,82.7524,0.9792,63123.3,SIX SIS
2025-05-31,ACCT00018,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,347,106.7366,0.9792,36267.23,SIX SIS
2025-05-31,ACCT00018,INS008,SAP,DE0007164600,Equity,XETR,EUR,166,192.0355,1.0,31877.89,SIX SIS
2025-05-31,ACCT00018,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,721,29.7088,0.9792,20974.54,SIX SIS
2025-05-31,ACCT00018,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,1699,125.3521,1.0,212973.22,SIX SIS
2025-05-31,ACCT00019,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,79332,4.3531,0.8825,304761.81,SIX SIS
2025-05-31,ACCT00019,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,142,578.9223,1.0,82206.97,SIX SIS
2025-05-31,ACCT00019,INS004,NESN,CH0038863350,Equity,XSWX,CHF,168,82.7524,0.9792,13613.24,SIX SIS
2025-05-31,ACCT00019,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,212,106.7366,0.9792,22157.5,SIX SIS
2025-05-31,ACCT00019,INS006,RO,CH0012032113,Equity,XSWX,CHF,65,307.0286,0.9792,19541.76,SIX SIS
2025-05-31,ACCT00019,INS008,SAP,DE0007164600,Equity,XETR,EUR,412,192.0355,1.0,79118.63,SIX SIS
2025-05-31,ACCT00019,INS007,TTE,FR0000120271,Equity,XPAR,EUR,414,76.567,1.0,31698.74,SIX SIS
2025-05-31,ACCT00019,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,625,125.3521,1.0,78345.06,SIX SIS
2025-05-31,ACCT00020,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,1594,578.9223,1.0,922802.15,J.P. Morgan Custody
2025-05-31,ACCT00020,INS002,MSFT,US5949181045,Equity,XNAS,USD,639,366.9114,0.8825,206907.75,J.P. Morgan Custody
2025-05-31,ACCT00020,INS004,NESN,CH0038863350,Equity,XSWX,CHF,12033,82.7524,0.9792,975048.43,J.P. Morgan Custody
2025-05-31,ACCT00020,INS008,SAP,DE0007164600,Equity,XETR,EUR,1374,192.0355,1.0,263856.78,J.P. Morgan Custody
2025-05-31,ACCT00021,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,350,578.9223,1.0,202622.8,BNP Paribas Securities Services
2025-05-31,ACCT00021,INS004,NESN,CH0038863350,Equity,XSWX,CHF,2822,82.7524,0.9792,228670.05,BNP Paribas Securities Services
2025-05-31,ACCT00021,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,919,106.7366,0.9792,96050.66,BNP Paribas Securities Services
2025-05-31,ACCT00021,INS007,TTE,FR0000120271,Equity,XPAR,EUR,109,76.567,1.0,8345.8,BNP Paribas Securities Services
2025-05-31,ACCT00021,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,1699,125.3521,1.0,212973.22,BNP Paribas Securities Services
2025-05-31,ACCT00022,INS001,AAPL,US0378331005,Equity,XNAS,USD,43,231.0862,0.8825,8769.14,Euroclear
2025-05-31,ACCT00022,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,33833,4.3531,0.8825,129972.85,Euroclear
2025-05-31,ACCT00022,INS002,MSFT,US5949181045,Equity,XNAS,USD,10,366.9114,0.8825,3237.99,Euroclear
2025-05-31,ACCT00022,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,344,106.7366,0.9792,35953.68,Euroclear
2025-05-31,ACCT00022,INS006,RO,CH0012032113,Equity,XSWX,CHF,112,307.0286,0.9792,33671.95,Euroclear
2025-05-31,ACCT00022,INS008,SAP,DE0007164600,Equity,XETR,EUR,399,192.0355,1.0,76622.16,Euroclear
2025-05-31,ACCT00022,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,1925,29.7088,0.9792,55999.98,Euroclear
2025-05-31,ACCT00022,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,1517,125.3521,1.0,190159.14,Euroclear
2025-05-31,ACCT00023,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,206,578.9223,1.0,119257.99,J.P. Morgan Custody
2025-05-31,ACCT00023,INS002,MSFT,US5949181045,Equity,XNAS,USD,7,366.9114,0.8825,2266.6,J.P. Morgan Custody
2025-05-31,ACCT00023,INS004,NESN,CH0038863350,Equity,XSWX,CHF,741,82.7524,0.9792,60044.12,J.P. Morgan Custody
2025-05-31,ACCT00023,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,1134,106.7366,0.9792,118521.71,J.P. Morgan Custody
2025-05-31,ACCT00023,INS006,RO,CH0012032113,Equity,XSWX,CHF,144,307.0286,0.9792,43292.51,J.P. Morgan Custody
2025-05-31,ACCT00023,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,257,29.7088,0.9792,7476.36,J.P. Morgan Custody
2025-05-31,ACCT00023,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,2465,125.3521,1.0,308992.93,J.P. Morgan Custody
2025-05-31,ACCT00024,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,1118578,4.3531,0.8825,4297129.24,BNP Paribas Securities Services
2025-05-31,ACCT00024,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,5947,578.9223,1.0,3442850.92,BNP Paribas Securities Services
2025-05-31,ACCT00024,INS002,MSFT,US5949181045,Equity,XNAS,USD,152,366.9114,0.8825,49217.49,BNP Paribas Securities Services
2025-05-31,ACCT00024,INS004,NESN,CH0038863350,Equity,XSWX,CHF,4981,82.7524,0.9792,403616.41,BNP Paribas Securities Services
2025-05-31,ACCT00024,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,1845,106.7366,0.9792,192832.94,BNP Paribas Securities Services
2025-05-31,ACCT00024,INS007,TTE,FR0000120271,Equity,XPAR,EUR,2009,76.567,1.0,153823.1,BNP Paribas Securities Services
2025-05-31,ACCT00024,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,14212,29.7088,0.9792,413439.87,BNP Paribas Securities Services
2025-05-31,ACCT00024,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,11237,125.3521,1.0,1408581.55,BNP Paribas Securities Services
2025-05-31,ACCT00025,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,1652,4.3531,0.8825,6346.32,BNP Paribas Securities Services
2025-05-31,ACCT00025,INS003,ASML,NL0010273215,Equity,XAMS,EUR,44,859.5191,1.0,37818.84,BNP Paribas Securities Services
2025-05-31,ACCT00025,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,327,578.9223,1.0,189307.59,BNP Paribas Securities Services
2025-05-31,ACCT00025,INS004,NESN,CH0038863350,Equity,XSWX,CHF,334,82.7524,0.9792,27064.42,BNP Paribas Securities Services
2025-05-31,ACCT00025,INS008,SAP,DE0007164600,Equity,XETR,EUR,209,192.0355,1.0,40135.42,BNP Paribas Securities Services
2025-05-31,ACCT00025,INS007,TTE,FR0000120271,Equity,XPAR,EUR,255,76.567,1.0,19524.58,BNP Paribas Securities Services
2025-05-31,ACCT00025,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,3730,29.7088,0.9792,108509.06,BNP Paribas Securities Services
2025-05-31,ACCT00025,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,1219,125.3521,1.0,152804.21,BNP Paribas Securities Services
2025-05-31,ACCT00026,INS001,AAPL,US0378331005,Equity,XNAS,USD,108,231.0862,0.8825,22024.83,J.P. Morgan Custody
2025-05-31,ACCT00026,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,125,578.9223,1.0,72365.29,J.P. Morgan Custody
2025-05-31,ACCT00026,INS002,MSFT,US5949181045,Equity,XNAS,USD,74,366.9114,0.8825,23961.15,J.P. Morgan Custody
2025-05-31,ACCT00026,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,789,29.7088,0.9792,22952.72,J.P. Morgan Custody
2025-05-31,ACCT00026,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,709,125.3521,1.0,88874.64,J.P. Morgan Custody
2025-05-31,ACCT00027,INS001,AAPL,US0378331005,Equity,XNAS,USD,18,231.0862,0.8825,3670.8,J.P. Morgan Custody
2025-05-31,ACCT00027,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,70217,4.3531,0.8825,269745.63,J.P. Morgan Custody
2025-05-31,ACCT00027,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,105,578.9223,1.0,60786.84,J.P. Morgan Custody
2025-05-31,ACCT00027,INS004,NESN,CH0038863350,Equity,XSWX,CHF,216,82.7524,0.9792,17502.74,J.P. Morgan Custody
2025-05-31,ACCT00027,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,792,106.7366,0.9792,82777.07,J.P. Morgan Custody
2025-05-31,ACCT00027,INS006,RO,CH0012032113,Equity,XSWX,CHF,27,307.0286,0.9792,8117.34,J.P. Morgan Custody
2025-05-31,ACCT00027,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,2820,29.7088,0.9792,82036.34,J.P. Morgan Custody
2025-05-31,ACCT00027,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,655,125.3521,1.0,82105.63,J.P. Morgan Custody
2025-05-31,ACCT00028,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,23033,4.3531,0.8825,88483.57,J.P. Morgan Custody
2025-05-31,ACCT00028,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,147,578.9223,1.0,85101.58,J.P. Morgan Custody
2025-05-31,ACCT00028,INS002,MSFT,US5949181045,Equity,XNAS,USD,321,366.9114,0.8825,103939.58,J.P. Morgan Custody
2025-05-31,ACCT00028,INS008,SAP,DE0007164600,Equity,XETR,EUR,236,192.0355,1.0,45320.38,J.P. Morgan Custody
2025-05-31,ACCT00028,INS007,TTE,FR0000120271,Equity,XPAR,EUR,349,76.567,1.0,26721.88,J.P. Morgan Custody
2025-05-31,ACCT00028,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,306,29.7088,0.9792,8901.82,J.P. Morgan Custody
2025-05-31,ACCT00029,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,14389,4.3531,0.8825,55276.78,Clearstream
2025-05-31,ACCT00029,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,205,578.9223,1.0,118679.07,Clearstream
2025-05-31,ACCT00029,INS002,MSFT,US5949181045,Equity,XNAS,USD,106,366.9114,0.8825,34322.73,Clearstream
2025-05-31,ACCT00029,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,366,106.7366,0.9792,38253.04,Clearstream
2025-05-31,ACCT00029,INS006,RO,CH0012032113,Equity,XSWX,CHF,284,307.0286,0.9792,85382.44,Clearstream
2025-05-31,ACCT00029,INS008,SAP,DE0007164600,Equity,XETR,EUR,633,192.0355,1.0,121558.47,Clearstream
2025-05-31,ACCT00029,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,2377,125.3521,1.0,297961.94,Clearstream
2025-05-31,ACCT00030,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,68092,4.3531,0.8825,261582.23,J.P. Morgan Custody
2025-05-31,ACCT00030,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,104,578.9223,1.0,60207.92,J.P. Morgan Custody
