invoice_id,invoice_period,account_id,market_code,custodian,invoice_currency,taxable_base_eur,withholding_tax_eur,custody_fee_eur,market_fee_eur,stamp_duty_eur,vat_eur,total_invoice_eur,invoice_status,paid_date,late_payment_flag
INV0000088,2025-11-30,ACCT00023,XNAS,J.P. Morgan Custody,EUR,3207.44,0.74,0.31,0.54,0.0,0.17,1.76,OVERDUE,,1
INV0000089,2025-11-30,ACCT00023,XSWX,J.P. Morgan Custody,EUR,207445.73,60.53,25.56,30.23,0.0,11.16,127.48,PAID,2025-12-16,0
INV0000090,2025-11-30,ACCT00024,XAMS,BNP Paribas Securities Services,EUR,3714320.04,182.23,314.73,321.03,0.0,127.15,945.14,PAID,2025-12-25,0
INV0000091,2025-11-30,ACCT00024,XETR,BNP Paribas Securities Services,EUR,1410770.03,125.95,111.35,100.96,0.0,42.46,380.72,ISSUED,,0
INV0000092,2025-11-30,ACCT00024,XNAS,BNP Paribas Securities Services,EUR,58480.17,13.96,5.79,9.95,0.0,3.15,32.85,PAID,2025-12-22,0
INV0000093,2025-11-30,ACCT00024,XPAR,BNP Paribas Securities Services,EUR,124768.83,13.95,12.42,20.19,0.0,6.52,53.08,ISSUED,,0
INV0000094,2025-11-30,ACCT00024,XSWX,BNP Paribas Securities Services,EUR,5644542.33,819.34,670.51,622.96,0.0,258.69,2371.5,PAID,2025-12-17,0
INV0000095,2025-11-30,ACCT00025,XAMS,BNP Paribas Securities Services,EUR,219659.32,14.5,20.65,20.82,0.0,0.0,55.97,PAID,2025-12-26,0
INV0000096,2025-11-30,ACCT00025,XETR,BNP Paribas Securities Services,EUR,190887.61,24.01,16.18,14.84,0.0,0.0,55.03,PAID,2025-12-07,0
INV0000097,2025-11-30,ACCT00025,XPAR,BNP Paribas Securities Services,EUR,20910.06,2.21,2.09,3.14,0.0,0.0,7.44,ISSUED,,0
INV0000098,2025-11-30,ACCT00025,XSWX,BNP Paribas Securities Services,EUR,142983.37,39.35,17.77,19.24,0.0,0.0,76.36,PAID,2025-12-25,0
INV0000099,2025-11-30,ACCT00026,XAMS,J.P. Morgan Custody,EUR,75677.2,3.7,6.39,6.52,0.0,2.58,19.19,OVERDUE,,1
INV0000100,2025-11-30,ACCT00026,XETR,J.P. Morgan Custody,EUR,86708.51,7.26,6.41,5.82,0.0,2.45,21.94,ISSUED,,0
INV0000101,2025-11-30,ACCT00026,XNAS,J.P. Morgan Custody,EUR,51501.05,13.09,5.43,9.33,0.0,2.95,30.8,PAID,2025-12-24,0
INV0000102,2025-11-30,ACCT00026,XSWX,J.P. Morgan Custody,EUR,21123.62,6.08,2.52,2.98,0.0,1.1,12.68,PAID,2025-12-09,0
INV0000103,2025-11-30,ACCT00027,XAMS,J.P. Morgan Custody,EUR,76137.59,3.72,6.54,6.67,0.0,2.64,19.57,PAID,2025-12-10,0
INV0000104,2025-11-30,ACCT00027,XETR,J.P. Morgan Custody,EUR,83541.13,7.56,6.8,6.17,0.0,2.59,23.12,PAID,2025-12-20,0
INV0000105,2025-11-30,ACCT00027,XNAS,J.P. Morgan Custody,EUR,3739.22,0.9,0.38,0.66,0.0,0.21,2.15,ISSUED,,0
INV0000106,2025-11-30,ACCT00027,XSWX,J.P. Morgan Custody,EUR,451875.67,83.34,53.1,53.6,0.0,21.34,211.38,ISSUED,,0
INV0000107,2025-11-30,ACCT00028,XAMS,J.P. Morgan Custody,EUR,82231.82,3.96,6.96,7.1,0.0,2.81,20.83,PAID,2025-12-08,0
INV0000108,2025-11-30,ACCT00028,XETR,J.P. Morgan Custody,EUR,52179.05,10.86,3.91,4.8,0.0,1.74,21.31,PAID,2025-12-05,0
INV0000109,2025-11-30,ACCT00028,XNAS,J.P. Morgan Custody,EUR,91131.25,21.97,9.27,15.95,0.0,5.04,52.23,PAID,2025-12-20,0
INV0000110,2025-11-30,ACCT00028,XPAR,J.P. Morgan Custody,EUR,23004.77,2.51,2.27,3.7,1.24,1.19,10.91,OVERDUE,,1
INV0000111,2025-11-30,ACCT00028,XSWX,J.P. Morgan Custody,EUR,81927.94,11.12,10.25,9.26,0.0,3.9,34.53,PAID,2025-12-26,0
INV0000112,2025-11-30,ACCT00029,XAMS,Clearstream,EUR,113354.87,5.25,9.58,9.78,0.0,3.87,28.48,PAID,2025-12-15,0
INV0000113,2025-11-30,ACCT00029,XETR,Clearstream,EUR,457204.07,55.14,36.09,36.01,0.0,14.42,141.66,PAID,2025-12-19,0
INV0000114,2025-11-30,ACCT00029,XNAS,Clearstream,EUR,30755.81,7.55,3.31,5.7,0.0,1.8,18.36,ISSUED,,0
INV0000115,2025-11-30,ACCT00029,XSWX,Clearstream,EUR,167699.92,37.56,20.23,21.99,2.6,8.44,90.82,PAID,2025-12-05,0
INV0000116,2025-11-30,ACCT00030,XAMS,J.P. Morgan Custody,EUR,59443.64,2.77,5.05,5.15,0.0,2.04,15.01,ISSUED,,0
INV0000117,2025-11-30,ACCT00030,XETR,J.P. Morgan Custody,EUR,88726.38,7.45,6.96,6.31,0.0,2.65,23.37,PAID,2025-12-25,0
INV0000118,2025-11-30,ACCT00030,XSWX,J.P. Morgan Custody,EUR,289360.71,37.63,33.78,31.07,4.34,12.97,119.79,PAID,2025-12-06,0
INV0000119,2025-11-30,ACCT00031,XETR,Clearstream,EUR,134762.91,14.29,10.2,9.82,0.0,4.0,38.31,PAID,2025-12-15,0
INV0000120,2025-11-30,ACCT00031,XSWX,Clearstream,EUR,44859.95,12.96,5.47,6.47,0.0,2.39,27.29,OVERDUE,,1
INV0000121,2025-11-30,ACCT00032,XAMS,J.P. Morgan Custody,EUR,216452.75,9.85,17.98,18.34,0.0,7.26,53.43,PAID,2025-12-24,0
INV0000122,2025-11-30,ACCT00032,XETR,J.P. Morgan Custody,EUR,483846.27,48.37,36.6,35.02,0.0,14.32,134.31,PAID,2025-12-05,0
INV0000123,2025-11-30,ACCT00032,XNAS,J.P. Morgan Custody,EUR,208115.44,47.94,21.02,36.15,0.0,11.43,116.54,PAID,2025-12-28,0
INV0000124,2025-11-30,ACCT00032,XPAR,J.P. Morgan Custody,EUR,99037.51,9.83,9.26,15.04,0.0,4.86,38.99,PAID,2025-12-08,0
INV0000125,2025-11-30,ACCT00032,XSWX,J.P. Morgan Custody,EUR,220055.53,63.58,27.87,32.96,3.58,12.17,140.16,PAID,2025-12-05,0
INV0000126,2025-11-30,ACCT00033,XAMS,Clearstream,EUR,61623.86,2.88,5.15,5.26,0.0,2.08,15.37,PAID,2025-12-21,0
INV0000127,2025-11-30,ACCT00033,XETR,Clearstream,EUR,59110.99,7.36,4.61,4.64,0.0,1.85,18.46,PAID,2025-12-09,0
INV0000128,2025-11-30,ACCT00033,XSWX,Clearstream,EUR,373342.72,76.0,42.55,45.26,0.0,17.56,181.37,PAID,2025-12-16,0
INV0000129,2025-11-30,ACCT00034,XAMS,BNP Paribas Securities Services,EUR,132686.27,6.49,10.95,11.23,0.0,4.44,33.11,PAID,2025-12-11,0
INV0000130,2025-11-30,ACCT00034,XETR,BNP Paribas Securities Services,EUR,142390.75,12.27,10.85,9.83,0.0,4.14,37.09,PAID,2025-12-09,0
INV0000131,2025-11-30,ACCT00034,XPAR,BNP Paribas Securities Services,EUR,41932.32,4.55,4.06,6.59,0.0,2.13,17.33,PAID,2025-12-28,0
INV0000132,2025-11-30,ACCT00034,XSWX,BNP Paribas Securities Services,EUR,372478.58,64.66,46.11,44.61,0.0,18.14,173.52,PAID,2025-12-09,0
INV0000133,2025-11-30,ACCT00035,XAMS,SIX SIS,EUR,408414.68,20.84,35.55,36.52,0.0,14.41,107.32,PAID,2025-12-20,0
INV0000134,2025-11-30,ACCT00035,XETR,SIX SIS,EUR,300252.18,28.93,23.16,21.61,0.0,8.95,82.65,PAID,2025-12-07,0
INV0000135,2025-11-30,ACCT00035,XNAS,SIX SIS,EUR,16868.46,4.2,1.77,3.05,0.0,0.96,9.98,PAID,2025-12-22,0
INV0000136,2025-11-30,ACCT00035,XSWX,SIX SIS,EUR,84593.67,23.94,10.11,11.95,0.0,4.41,50.41,PAID,2025-12-19,0
INV0000137,2025-11-30,ACCT00036,XAMS,Euroclear,EUR,46409.01,2.3,4.12,4.2,0.0,1.66,12.28,PAID,2025-12-20,0
INV0000138,2025-11-30,ACCT00036,XETR,Euroclear,EUR,4276.07,0.85,0.31,0.38,0.0,0.14,1.68,PAID,2025-12-17,0
INV0000139,2025-11-30,ACCT00036,XPAR,Euroclear,EUR,23962.88,2.55,2.36,3.83,0.0,1.24,9.98,ISSUED,,0
INV0000140,2025-11-30,ACCT00036,XSWX,Euroclear,EUR,152854.13,40.55,17.44,20.63,0.0,7.61,86.23,PAID,2025-12-11,0
INV0000141,2025-11-30,ACCT00037,XAMS,J.P. Morgan Custody,EUR,171001.82,7.65,13.96,14.24,0.0,5.64,41.49,PAID,2025-12-27,0
INV0000142,2025-11-30,ACCT00037,XETR,J.P. Morgan Custody,EUR,248181.1,28.04,19.04,18.79,0.0,7.57,73.44,PAID,2025-12-17,0
INV0000143,2025-11-30,ACCT00037,XPAR,J.P. Morgan Custody,EUR,46501.41,4.53,4.26,6.93,0.0,2.24,17.96,PAID,2025-12-23,0
INV0000144,2025-11-30,ACCT00037,XSWX,J.P. Morgan Custody,EUR,93118.35,25.61,11.22,13.28,1.44,4.9,56.45,PAID,2025-12-11,0
INV0000145,2025-11-30,ACCT00038,XAMS,Clearstream,EUR,1073564.05,50.46,90.43,92.24,0.0,36.53,269.66,OVERDUE,,1
INV0000146,2025-11-30,ACCT00038,XETR,Clearstream,EUR,1396747.81,119.26,109.41,99.2,0.0,41.72,369.59,PAID,2025-12-19,0
INV0000147,2025-11-30,ACCT00038,XNAS,Clearstream,EUR,463805.63,113.14,48.66,83.7,0.0,26.47,271.97,PAID,2025-12-28,0
INV0000148,2025-11-30,ACCT00038,XSWX,Clearstream,EUR,7039493.59,1383.96,834.96,864.36,0.0,339.86,3423.14,PAID,2025-12-15,0
INV0000149,2025-11-30,ACCT00039,XAMS,BNP Paribas Securities Services,EUR,872173.04,42.42,74.56,76.05,0.0,30.12,223.15,PAID,2025-12-24,0
INV0000150,2025-11-30,ACCT00039,XETR,BNP Paribas Securities Services,EUR,4524.73,0.96,0.34,0.42,0.0,0.15,1.87,PAID,2025-12-11,0
INV0000151,2025-11-30,ACCT00039,XNAS,BNP Paribas Securities Services,EUR,3648.51,0.91,0.38,0.66,0.0,0.21,2.16,PAID,2025-12-16,0
INV0000152,2025-11-30,ACCT00039,XSWX,BNP Paribas Securities Services,EUR,5012291.62,731.06,608.9,565.78,0.0,234.94,2140.68,ISSUED,,0
INV0000153,2025-11-30,ACCT00040,XAMS,SIX SIS,EUR,142493.65,7.53,13.8,13.03,0.0,0.0,34.36,ISSUED,,0
INV0000154,2025-11-30,ACCT00040,XETR,SIX SIS,EUR,155778.12,14.54,13.63,11.44,0.0,0.0,39.61,PAID,2025-12-06,0
INV0000155,2025-11-30,ACCT00040,XPAR,SIX SIS,EUR,15556.69,1.72,1.62,2.45,0.0,0.0,5.79,OVERDUE,,1
INV0000156,2025-11-30,ACCT00040,XSWX,SIX SIS,EUR,130074.89,29.12,17.66,17.03,0.0,0.0,63.81,PAID,2025-12-18,0
INV0000157,2025-11-30,ACCT00041,XNAS,Clearstream,EUR,12109.44,3.14,1.3,2.24,0.0,0.71,7.39,PAID,2025-12-25,0
INV0000158,2025-11-30,ACCT00041,XPAR,Clearstream,EUR,92758.34,9.46,8.42,13.69,0.0,4.42,35.99,OVERDUE,,1
INV0000159,2025-11-30,ACCT00041,XSWX,Clearstream,EUR,388590.59,66.18,49.05,46.9,0.0,19.19,181.32,PAID,2025-12-17,0
INV0000160,2025-11-30,ACCT00042,XAMS,J.P. Morgan Custody,EUR,39275.76,1.77,3.3,3.36,0.0,1.33,9.76,PAID,2025-12-10,0
INV0000161,2025-11-30,ACCT00042,XETR,J.P. Morgan Custody,EUR,111007.29,9.19,8.76,7.95,0.0,3.34,29.24,ISSUED,,0
INV0000162,2025-11-30,ACCT00042,XSWX,J.P. Morgan Custody,EUR,127299.72,18.45,14.62,14.02,0.0,5.73,52.82,PAID,2025-12-10,0
INV0000163,2025-11-30,ACCT00043,XETR,Euroclear,EUR,225337.13,48.21,17.36,21.3,0.0,7.73,94.6,PAID,2025-12-07,0
INV0000164,2025-11-30,ACCT00043,XNAS,Euroclear,EUR,51088.47,12.69,5.36,9.21,0.0,2.91,30.17,PAID,2025-12-16,0
INV0000165,2025-11-30,ACCT00043,XSWX,Euroclear,EUR,29409.22,8.01,3.51,4.09,0.0,1.52,17.13,PAID,2025-12-15,0
INV0000166,2025-11-30,ACCT00044,XAMS,J.P. Morgan Custody,EUR,110641.0,5.45,9.58,9.78,0.0,3.87,28.68,PAID,2025-12-15,0
INV0000167,2025-11-30,ACCT00044,XETR,J.P. Morgan Custody,EUR,209153.27,31.37,15.97,17.1,0.0,6.61,71.05,PAID,2025-12-27,0
INV0000168,2025-11-30,ACCT00044,XNAS,J.P. Morgan Custody,EUR,75048.48,19.07,8.05,13.84,0.0,4.38,45.34,PAID,2025-12-19,0
INV0000169,2025-11-30,ACCT00044,XSWX,J.P. Morgan Custody,EUR,122779.12,26.69,13.91,15.1,0.0,5.8,61.5,PAID,2025-12-15,0
INV0000170,2025-11-30,ACCT00045,XAMS,Euroclear,EUR,368250.65,17.39,31.74,32.38,0.0,12.82,94.33,ISSUED,,0
INV0000171,2025-11-30,ACCT00045,XETR,Euroclear,EUR,246856.48,26.76,19.32,18.73,0.0,7.61,72.42,PAID,2025-12-17,0
INV0000172,2025-11-30,ACCT00045,XNAS,Euroclear,EUR,68687.1,15.7,6.88,11.84,0.0,3.74,38.16,PAID,2025-12-11,0
